   Coeff   Det    RedA RedB RedC X Y UnredA UnredB UnredC
     -9    175   4, 1, 44    1, 45    89194, 1981, 44
     -9    175   4, 1, 44   1, 169    1257026, 7437, 44
     -9    175   8, 1, 22    1, 61    81992, 1343, 22
     -9    175   8, 1, 22    1, 90    178388, 1981, 22
      1    175   10, 5, 20   1, 150    451510, 3005, 20
     21    175   14, 7, 16   1, 158    401650, 2535, 16
      4    187   2, 1, 94    1, 58    316334, 5453, 94
      4    187   14, 3, 14     1, 6    554, 87, 14
     -3    188   2, 0, 94    1, 89    744576, 8366, 94
      3    188   4, 2, 48   1, 105    529624, 5042, 48
     12    188   6, 2, 32    1, 19    11634, 610, 32
     -3    188   6, 2, 32   1, 154    759534, 4930, 32
    -12    188   8, 2, 24   1, 113    306916, 2714, 24
     18    188   8, 2, 24   1, 210    1059248, 5042, 24
      3    188   12, 2, 16    1, 31    15512, 498, 16
    -12    188   12, 2, 16    1, 38    23268, 610, 16
     12    188   14, 6, 16   1, 100    161214, 1606, 16
    -18    188   14, 6, 16   1, 107    184482, 1718, 16
     -1    191   2, 1, 96    1, 12    13850, 1153, 96
     -1    191   4, 1, 48    1, 24    27700, 1153, 48
     -1    191   4, 1, 48   1, 126    762304, 6049, 48
    -16    191   6, 1, 32    1, 36    41550, 1153, 32
     -1    191   6, 1, 32   1, 189    1143456, 6049, 32
     14    191   8, 1, 24    1, 48    55400, 1153, 24
     -1    191   8, 1, 24   1, 252    1524608, 6049, 24
    -16    191   10, 3, 20    1, 53    56508, 1063, 20
     14    191   10, 3, 20   1, 196    769506, 3923, 20
     14    191   12, 1, 16    1, 72    83100, 1153, 16
    -16    191   12, 1, 16   1, 101    163430, 1617, 16
     -1    191   12, 5, 18    1, 28    14404, 509, 18
     14    191   12, 5, 18    1, 33    19944, 599, 18
      6    192   2, 0, 96    1, 96    884738, 9216, 96
    -12    192   4, 0, 48    1, 85    346804, 4080, 48
     -9    192   6, 0, 32    1, 11    3878, 352, 32
      6    192   8, 0, 24   1, 107    274784, 2568, 24
      6    192   8, 4, 26    1, 56    81992, 1460, 26
     18    192   12, 0, 16    1, 22    7756, 352, 16
     -9    192   14, 2, 14    1, 25    8864, 352, 14
    -18    192   16, 8, 16   1, 116    217168, 1864, 16
     -3    196   2, 0, 98    1, 31    94180, 3038, 98
     12    196   4, 2, 50    1, 50    125204, 2502, 50
     -3    196   10, 2, 20    1, 41    33794, 822, 20
     -3    196   10, 2, 20   1, 125    313010, 2502, 20
     -2    196   14, 0, 14    1, 60    50414, 840, 14
     14    203   2, 1, 102    1, 45    206642, 4591, 102
     -1    203   6, 1, 34   1, 135    619926, 4591, 34
    -16    203   6, 1, 34   1, 256    2228742, 8705, 34
     14    203   14, 7, 18    1, 70    89194, 1267, 18
     15    207   2, 1, 104    1, 26    70358, 2705, 104
    -15    207   4, 1, 52    1, 52    140716, 2705, 52
      0    207   4, 1, 52   1, 193    1937338, 10037, 52
      0    207   6, 3, 36   1, 152    832662, 5475, 36
     15    207   8, 1, 26   1, 104    281432, 2705, 26
    -15    207   8, 1, 26   1, 109    309132, 2835, 26
      0    207   12, 3, 18    1, 27    13296, 489, 18
      0    207   12, 3, 18    1, 65    76452, 1173, 18
      0    207   16, 7, 16   1, 134    289188, 2151, 16
     10    208   2, 0, 104    1, 37    142378, 3848, 104
      0    208   4, 0, 52    1, 74    284756, 3848, 52
     -5    208   8, 0, 26   1, 129    432674, 3354, 26
    -15    208   8, 4, 28   1, 179    898588, 5016, 28
     10    208   14, 4, 16   1, 171    469238, 2740, 16
     10    208   14, 4, 16   1, 244    954542, 3908, 16
     -6    211   2, 1, 106   1, 177    3321230, 18763, 106
     -6    211   10, 3, 22   1, 198    863686, 4359, 22
      9    211   10, 3, 22   1, 255    1432090, 5613, 22
     17    215   2, 1, 108   1, 165    2940632, 17821, 108
    -13    215   4, 1, 54    1, 53    151796, 2863, 54
    -13    215   4, 1, 54   1, 265    3792684, 14311, 54
      2    215   6, 1, 36   1, 218    1711306, 7849, 36
      2    215   6, 1, 36   1, 259    2415440, 9325, 36
    -13    215   8, 3, 28    1, 23    14958, 647, 28
      2    215   8, 3, 28   1, 234    1534580, 6555, 28
      2    215   10, 5, 24    1, 19    8864, 461, 24
    -13    215   12, 1, 18   1, 159    455388, 2863, 18
      2    215   12, 1, 18   1, 241    1045952, 4339, 18
      2    215   12, 5, 20   1, 189    716322, 3785, 20
      2    215   12, 5, 20   1, 226    1023792, 4525, 20
